season,week,outcome,date,time,rotation,team,score,wagers,BETONLINE_spread,BETONLINE_odds,BOVODA_spread,BOVODA_odds,BookMaker_spread,BookMaker_odds,BAS_spread,BAS_odds,Heritage_spread,Heritage_odds,everygame_spread,everygame_odds,JustBET_spread,JustBET_odds,bet105_spread,bet105_odds,WAGERWEB_spread,WAGERWEB_odds,opener_spread,opener_odds
2024,13,FINAL,Sun 12/1,1:00 PM,466,Cincinnati,38,59%,-3.0,-114,-3.0,-125,-3.0,-114,-3.0,-110,-3.0,-108,-3.0,-115,-3.0,-114,,,-3.0,-110,-2.0,-110
2024,13,FINAL,Sun 12/1,1:00 PM,467,Indianapolis,25,35%,-2.5,-110,-2.0,-110,-2.5,-105,-2.5,-110,-2.5,-108,-2.5,-110,-2.5,-105,,,-2.5,-114,-2.5,-110
2024,13,FINAL,Sun 12/1,1:00 PM,468,New England,24,65%,2.5,-110,2.0,-110,2.5,-115,2.5,-110,2.5,-108,2.5,-110,2.5,-115,,,2.5,-106,2.5,-110
2024,13,FINAL,Sun 12/1,1:00 PM,471,Arizona,22,64%,3.5,-114,3.5,-110,3.5,-118,3.5,-115,3.5,-108,3.5,-110,3.5,-118,,,3.5,-117,3.0,-105
2024,13,FINAL,Sun 12/1,1:00 PM,472,Minnesota,23,36%,-3.5,-106,-3.5,-110,-3.5,-102,-3.5,-105,-3.5,-108,-3.5,-110,-3.5,-102,,,-3.5,-103,-3.0,-115
2024,13,FINAL,Sun 12/1,1:00 PM,461,Tennessee,19,64%,6.0,-113,6.0,-110,6.0,-115,6.0,-115,6.0,-108,6.0,-110,6.0,-115,,,6.0,-110,7.5,-110
2024,13,FINAL,Sun 12/1,1:00 PM,462,Washington,42,36%,-6.0,-107,-6.0,-110,-6.0,-105,-6.0,-105,-6.0,-108,-6.0,-110,-6.0,-105,,,-6.0,-110,-7.5,-110
2024,13,FINAL,Sun 12/1,1:00 PM,463,L.A. Chargers,17,47%,,-105,1.0,-120,-1.0,-115,-1.0,-110,,-108,,-110,-1.0,-115,,,1.0,-110,,-110
2024,13,FINAL,Sun 12/1,1:00 PM,464,Atlanta,13,53%,,-115,-1.0,+100,1.0,-105,1.0,-110,,-108,,-110,1.0,-105,,,-1.0,-110,,-110
2024,13,FINAL,Sun 12/1,1:00 PM,469,Houston,23,24%,-3.0,-116,-3.5,-105,-3.0,-118,-3.0,-115,-3.0,-118,-3.5,+100,-3.0,-118,,,-3.0,-122,-6.0,-110
2024,13,FINAL,Sun 12/1,1:00 PM,470,Jacksonville,20,76%,3.0,-104,3.5,-115,3.0,-101,3.0,-105,3.0,+102,3.5,-120,3.0,-101,,,3.0,+102,6.0,-110
