eid,season,week,date,time,team,rotation,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3452668,2018,1,Sun 9/9,4:25 PM,Dallas,473,8,FINAL,1538.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,2.5,2.5,3.5,3.0,-113.0,100.0,-110.0,-110.0,110.0,-115.0,-110.0,-110.0,115.0,113.0,-115.0,-110.0,38.92,2.5,-110.0
3452668,2018,1,,,Carolina,474,16,,1545.0,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0,-2.5,-2.5,-3.5,-3.0,-107.0,-120.0,-110.0,-110.0,-121.0,-105.0,-110.0,-110.0,-125.0,-133.0,-105.0,-110.0,61.08,-2.5,-110.0
3452669,2018,1,Sun 9/9,4:25 PM,Seattle,471,24,FINAL,1548.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,105.0,110.0,101.0,101.0,109.0,105.0,105.0,105.0,120.0,106.0,-120.0,110.0,41.28,1.0,-110.0
3452669,2018,1,,,Denver,472,27,,1534.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-125.0,-130.0,-120.0,-120.0,-120.0,-125.0,-125.0,-125.0,-130.0,-126.0,100.0,-130.0,58.72,-1.0,-110.0
3452670,2018,1,Sun 9/9,4:25 PM,Washington,475,24,FINAL,1537.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.5,2.0,1.5,2.0,-115.0,100.0,-110.0,-110.0,-104.0,-110.0,-105.0,-110.0,-105.0,-107.0,-110.0,-105.0,46.45,0.0,-110.0
3452670,2018,1,,,Arizona,476,6,,1549.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.5,-2.0,-2.0,-2.5,-2.0,-1.5,-2.0,-105.0,-120.0,-110.0,-110.0,-106.0,-110.0,-115.0,-110.0,-105.0,-113.0,-110.0,-115.0,53.55,0.0,-110.0
3452671,2018,1,Sun 9/9,8:20 PM,Chicago,477,23,FINAL,1540.0,7.0,7.0,6.5,6.5,6.5,7.0,6.5,7.0,7.0,7.0,7.5,7.0,-125.0,100.0,-114.0,-114.0,-110.0,-120.0,-110.0,-116.0,-115.0,-123.0,-110.0,-125.0,43.71,8.0,-110.0
3452671,2018,1,,,Green Bay,478,24,,1542.0,-7.0,-7.0,-6.5,-6.5,-6.5,-7.0,-6.5,-7.0,-7.0,-7.0,-7.5,-7.0,105.0,-120.0,-106.0,-106.0,-100.0,100.0,-110.0,-105.0,105.0,103.0,-110.0,105.0,56.29,-8.0,-110.0
3452654,2018,1,Thu 9/6,8:20 PM,Atlanta,451,12,FINAL,1546.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-110.0,-110.0,-105.0,-105.0,-111.0,-110.0,-115.0,-110.0,-105.0,-104.0,-115.0,-110.0,54.32,5.5,-110.0
3452654,2018,1,,,Philadelphia,452,18,,1536.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-110.0,-110.0,-115.0,-115.0,101.0,-110.0,-105.0,-110.0,-105.0,-116.0,-105.0,-110.0,45.68,-5.5,-110.0
