game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds,127_moneyline,127_spread,127_spread_odds,127_total,127_total_odds
4700737,1539,2023,6,Detroit,Sun 10/15,4:25 PM,20,FINAL,267,-175.0,-3.0,-110.0,45.0,-110.0,28.83,1280.0,30.07,4420.0,84.38,0.0,-159.0,-3.0,-109.0,43.0,-115.0,-160.0,-3.0,-110.0,44.0,-105.0,-158.0,-3.0,-110.0,43.0,-119.0,-158.0,-3.0,-110.0,43.0,-119.0,-154.0,-3.0,-102.0,43.0,-118.0,-160.0,-3.0,-115.0,43.5,-110.0,-160.0,-3.0,-110.0,43.5,-110.0,-160.0,-3.0,-110.0,43.5,-110.0,-170.0,-3.0,-108.0,44.0,-108.0,-168.0,-3.0,-110.0,43.5,-110.0,-160.0,-3.0,-115.0,43.5,-110.0,-155.0,-3.0,-105.0,43.5,-110.0,-169.0,-3.0,-105.0,43.5,-109.0
4700737,1544,2023,6,Tampa Bay,Sun 10/15,4:25 PM,6,FINAL,268,155.0,3.0,-110.0,45.0,-110.0,71.17,3160.0,69.93,10280.0,15.62,0.0,139.0,3.0,-111.0,43.0,-105.0,135.0,3.0,-110.0,44.0,-115.0,138.0,3.0,-110.0,43.0,-101.0,138.0,3.0,-110.0,43.0,-101.0,137.0,3.0,-108.0,43.0,105.0,140.0,3.0,-105.0,43.5,-110.0,140.0,3.0,-110.0,43.5,-110.0,140.0,3.0,-110.0,43.5,-110.0,150.0,3.0,-108.0,44.0,-108.0,148.0,3.0,-110.0,43.5,-110.0,140.0,3.0,-105.0,43.5,-110.0,135.0,3.0,-115.0,43.5,-110.0,140.0,3.0,-108.0,43.5,-111.0
4700745,1549,2023,6,Arizona,Sun 10/15,4:25 PM,9,FINAL,271,200.0,4.5,-110.0,45.5,-110.0,95.25,5610.0,82.2,10070.0,59.24,0.0,280.0,7.5,-115.0,47.0,-110.0,280.0,7.0,-105.0,47.5,-120.0,274.0,7.0,-105.0,47.5,-110.0,274.0,7.0,-105.0,47.5,-110.0,293.0,7.5,-105.0,48.0,101.0,270.0,7.0,-105.0,48.0,-110.0,270.0,7.5,-110.0,47.5,-110.0,280.0,7.0,-110.0,47.5,-110.0,285.0,7.0,-103.0,47.5,-108.0,270.0,7.0,-106.0,47.5,-110.0,270.0,7.0,-105.0,48.0,-110.0,265.0,7.0,-105.0,47.5,-115.0,262.0,7.0,-104.0,48.0,-109.0
4700745,1550,2023,6,L.A. Rams,Sun 10/15,4:25 PM,26,FINAL,272,-240.0,-4.5,-110.0,45.5,-110.0,4.75,280.0,17.8,2180.0,40.76,0.0,-350.0,-7.5,-105.0,47.0,-110.0,-360.0,-7.0,-115.0,47.5,100.0,-340.0,-7.0,-115.0,47.5,-110.0,-340.0,-7.0,-115.0,47.5,-110.0,-352.0,-7.5,-105.0,48.0,-114.0,-330.0,-7.0,-115.0,48.0,-110.0,-330.0,-7.5,-110.0,47.5,-110.0,-340.0,-7.0,-110.0,47.5,-110.0,-355.0,-7.0,-113.0,47.5,-108.0,-330.0,-7.0,-114.0,47.5,-110.0,-330.0,-7.0,-115.0,48.0,-110.0,-340.0,-7.0,-115.0,47.5,-105.0,-333.0,-7.0,-108.0,48.0,-110.0
4700746,1536,2023,6,Philadelphia,Sun 10/15,4:25 PM,14,FINAL,273,-255.0,-6.0,-110.0,43.0,-110.0,12.52,880.0,14.53,2300.0,67.06,0.0,-325.0,-6.5,-121.0,43.5,-110.0,-330.0,-6.5,-125.0,44.0,-110.0,-300.0,-6.5,-113.0,43.5,-110.0,-300.0,-6.5,-113.0,43.5,-110.0,-266.0,-6.5,-105.0,44.0,-104.0,-350.0,-7.0,100.0,44.0,-110.0,-320.0,-6.5,-120.0,44.0,-110.0,-290.0,-6.5,-110.0,43.5,-110.0,-305.0,-6.5,-118.0,43.5,-108.0,-302.0,-6.5,-118.0,43.5,-110.0,-350.0,-7.0,100.0,44.0,-110.0,-315.0,-6.5,-125.0,43.5,-110.0,-303.0,-6.5,-110.0,43.5,-111.0
4700746,1523,2023,6,N.Y. Jets,Sun 10/15,4:25 PM,20,FINAL,274,215.0,6.0,-110.0,43.0,-110.0,87.48,6150.0,85.47,13530.0,32.94,0.0,270.0,6.5,101.0,43.5,-110.0,265.0,6.5,105.0,44.0,-110.0,245.0,6.5,-107.0,43.5,-110.0,245.0,6.5,-107.0,43.5,-110.0,228.0,6.5,-105.0,44.0,-108.0,290.0,7.0,-120.0,44.0,-110.0,260.0,6.5,100.0,44.0,-110.0,245.0,6.5,-110.0,43.5,-110.0,245.0,6.5,102.0,43.5,-108.0,242.0,6.5,-102.0,43.5,-110.0,290.0,7.0,-120.0,44.0,-110.0,240.0,6.5,105.0,43.5,-110.0,242.0,6.5,-103.0,43.5,-109.0
4700747,1535,2023,6,N.Y. Giants,Sun 10/15,8:20 PM,9,FINAL,275,660.0,12.5,-110.0,48.5,-110.0,93.26,5260.0,81.03,10420.0,61.5,0.0,700.0,14.5,-107.0,43.0,-114.0,650.0,15.5,-110.0,43.5,-110.0,818.0,15.0,-110.0,43.5,-106.0,777.0,15.0,-110.0,43.5,-105.0,718.0,15.5,-112.0,43.0,-110.0,600.0,15.5,-110.0,43.5,-110.0,725.0,15.5,-110.0,43.5,-110.0,800.0,15.5,-110.0,43.5,-110.0,702.0,14.5,-108.0,43.0,-108.0,747.0,14.5,-110.0,43.0,-110.0,600.0,15.5,-110.0,43.5,-110.0,745.0,15.0,-115.0,43.5,-110.0,836.0,14.5,-111.0,43.5,-106.0
4700747,1526,2023,6,Buffalo,Sun 10/15,8:20 PM,14,FINAL,276,-1000.0,-12.5,-110.0,48.5,-110.0,6.74,380.0,18.97,2440.0,38.5,0.0,-1100.0,-14.5,-113.0,43.0,-106.0,-1100.0,-15.5,-110.0,43.5,-110.0,-1350.0,-15.0,-110.0,43.5,-114.0,-1250.0,-15.0,-110.0,43.5,-115.0,-1038.0,-15.5,102.0,43.0,-102.0,-900.0,-15.5,-110.0,43.5,-110.0,-1300.0,-15.5,-110.0,43.5,-110.0,-1300.0,-15.5,-110.0,43.5,-110.0,-1190.0,-14.5,-108.0,43.0,-108.0,-1311.0,-14.5,-110.0,43.0,-110.0,-900.0,-15.5,-110.0,43.5,-110.0,-1400.0,-15.0,-105.0,43.5,-110.0,-1429.0,-14.5,-102.0,43.5,-112.0
4700735,1534,2023,6,Denver,Thu 10/12,8:15 PM,8,FINAL,111,395.0,11.0,-110.0,51.5,-110.0,88.77,3400.0,72.65,7200.0,58.98,0.0,500.0,10.5,-113.0,47.0,-108.0,425.0,10.0,-105.0,47.0,-110.0,509.0,10.5,-117.0,47.5,-110.0,509.0,10.5,-117.0,47.5,-108.0,430.0,10.5,-110.0,47.0,-105.0,475.0,10.5,-110.0,47.5,-110.0,470.0,10.5,-110.0,47.5,-110.0,475.0,10.5,-110.0,47.5,-110.0,485.0,10.5,-108.0,47.5,-108.0,455.0,10.5,-110.0,47.5,-107.0,475.0,10.5,-110.0,47.5,-110.0,450.0,10.5,-110.0,47.5,-110.0,437.0,10.5,-106.0,47.5,-109.0
4700735,1531,2023,6,Kansas City,Thu 10/12,8:15 PM,19,FINAL,112,-500.0,-11.0,-110.0,51.5,-110.0,11.23,430.0,27.35,2710.0,41.02,0.0,-650.0,-10.5,-107.0,47.0,-112.0,-600.0,-10.0,-115.0,47.0,-110.0,-705.0,-10.5,-103.0,47.5,-110.0,-705.0,-10.5,-103.0,47.5,-112.0,-550.0,-10.5,-100.0,47.0,-107.0,-650.0,-10.5,-110.0,47.5,-110.0,-650.0,-10.5,-110.0,47.5,-110.0,-650.0,-10.5,-110.0,47.5,-110.0,-635.0,-10.5,-108.0,47.5,-108.0,-605.0,-10.5,-110.0,47.5,-113.0,-650.0,-10.5,-110.0,47.5,-110.0,-700.0,-10.5,-110.0,47.5,-110.0,-625.0,-10.5,-106.0,47.5,-111.0
